*InvoiceNo,*Customer,*InvoiceDate,*DueDate,Terms,Location,Memo,Item(Product/Service),ItemDescription,ItemQuantity,ItemRate,*ItemAmount,*ItemTaxCode,*ItemTaxAmount,Service Date
B03-09-2024,Walk In Customer,03-09-2024,03-09-2024,Due on receipt,1004 (VI),,5ALIVE PULPY 85CL,5ALIVE PULPY 85CL,2,,3000.0,Sales Tax,,03-09-2024
B03-09-2024,Walk In Customer,03-09-2024,03-09-2024,Due on receipt,1004 (VI),,AFANG,AFANG,2,,3000.0,Sales Tax,,03-09-2024
B03-09-2024,Walk In Customer,03-09-2024,03-09-2024,Due on receipt,1004 (VI),,AMALA,AMALA,3,,1800.0,Sales Tax,,03-09-2024
B03-09-2024,Walk In Customer,03-09-2024,03-09-2024,Due on receipt,1004 (VI),,AMALA ASSORTED,AMALA ASSORTED,22,,8800.0,Sales Tax,,03-09-2024
B03-09-2024,Walk In Customer,03-09-2024,03-09-2024,Due on receipt,1004 (VI),,AMALA BEEF ,AMALA BEEF ,18,,12600.0,Sales Tax,,03-09-2024
B03-09-2024,Walk In Customer,03-09-2024,03-09-2024,Due on receipt,1004 (VI),,AMALA PONMO ,AMALA PONMO ,8,,3200.0,Sales Tax,,03-09-2024
B03-09-2024,Walk In Customer,03-09-2024,03-09-2024,Due on receipt,1004 (VI),,ASSORTED,ASSORTED,7,,7000.0,Sales Tax,,03-09-2024
B03-09-2024,Walk In Customer,03-09-2024,03-09-2024,Due on receipt,1004 (VI),,ASUN RICE,ASUN RICE,4,,14800.0,Sales Tax,,03-09-2024
B03-09-2024,Walk In Customer,03-09-2024,03-09-2024,Due on receipt,1004 (VI),,BBQ CHICKEN WINGS,BBQ CHICKEN WINGS,1,,2900.0,Sales Tax,,03-09-2024
B03-09-2024,Walk In Customer,03-09-2024,03-09-2024,Due on receipt,1004 (VI),,BEANS POTTAGE,BEANS POTTAGE,6,,8400.0,Sales Tax,,03-09-2024
B03-09-2024,Walk In Customer,03-09-2024,03-09-2024,Due on receipt,1004 (VI),,BERRY BLAST,BERRY BLAST,2,,3000.0,Sales Tax,,03-09-2024
B03-09-2024,Walk In Customer,03-09-2024,03-09-2024,Due on receipt,1004 (VI),,BOILED EGG,BOILED EGG,4,,2000.0,Sales Tax,,03-09-2024
B03-09-2024,Walk In Customer,03-09-2024,03-09-2024,Due on receipt,1004 (VI),,BOILED YAM,BOILED YAM,4,,4800.0,Sales Tax,,03-09-2024
B03-09-2024,Walk In Customer,03-09-2024,03-09-2024,Due on receipt,1004 (VI),,BOILED YAM,BOILED YAM,2,,2400.0,Sales Tax,,03-09-2024
B03-09-2024,Walk In Customer,03-09-2024,03-09-2024,Due on receipt,1004 (VI),,CARIBBEAN RICE,CARIBBEAN RICE,6,,21000.0,Sales Tax,,03-09-2024
B03-09-2024,Walk In Customer,03-09-2024,03-09-2024,Due on receipt,1004 (VI),,CHICKEN PIE WITH BRANDED CARRIER BAG,CHICKEN PIE WITH BRANDED CARRIER BAG,9,,8100.0,Sales Tax,,03-09-2024
B03-09-2024,Walk In Customer,03-09-2024,03-09-2024,Due on receipt,1004 (VI),,COCONUT RICE -,COCONUT RICE -,19,,32300.0,Sales Tax,,03-09-2024
B03-09-2024,Walk In Customer,03-09-2024,03-09-2024,Due on receipt,1004 (VI),,COKE 65CL,COKE 65CL,6,,3000.0,Sales Tax,,03-09-2024
B03-09-2024,Walk In Customer,03-09-2024,03-09-2024,Due on receipt,1004 (VI),,COLE SLAW,COLE SLAW,9,,4950.0,Sales Tax,,03-09-2024
B03-09-2024,Walk In Customer,03-09-2024,03-09-2024,Due on receipt,1004 (VI),,CONCOTION RICE,CONCOTION RICE,7,,13300.0,Sales Tax,,03-09-2024
B03-09-2024,Walk In Customer,03-09-2024,03-09-2024,Due on receipt,1004 (VI),,CORN-DOG,CORN-DOG,10,,7000.0,Sales Tax,,03-09-2024
B03-09-2024,Walk In Customer,03-09-2024,03-09-2024,Due on receipt,1004 (VI),,DELIVERY- 1004 ESTATE,DELIVERY- 1004 ESTATE,3,,1500.0,No VAT,,03-09-2024
B03-09-2024,Walk In Customer,03-09-2024,03-09-2024,Due on receipt,1004 (VI),,DOUGHNUT WITH BRANDED POLY,DOUGHNUT WITH BRANDED POLY,6,,4200.0,Sales Tax,,03-09-2024
B03-09-2024,Walk In Customer,03-09-2024,03-09-2024,Due on receipt,1004 (VI),,EBA,EBA,22,,11000.0,Sales Tax,,03-09-2024
B03-09-2024,Walk In Customer,03-09-2024,03-09-2024,Due on receipt,1004 (VI),,EDIKAIKONG,EDIKAIKONG,6,,9000.0,Sales Tax,,03-09-2024
B03-09-2024,Walk In Customer,03-09-2024,03-09-2024,Due on receipt,1004 (VI),,EFORIRO,EFORIRO,4,,4000.0,Sales Tax,,03-09-2024
B03-09-2024,Walk In Customer,03-09-2024,03-09-2024,Due on receipt,1004 (VI),,EGG SAUCE,EGG SAUCE,6,,9000.0,Sales Tax,,03-09-2024
B03-09-2024,Walk In Customer,03-09-2024,03-09-2024,Due on receipt,1004 (VI),,EGUSI,EGUSI,8,,12000.0,Sales Tax,,03-09-2024
